mni_nlin_x,mni_nlin_y,mni_nlin_z
5.65580304740819,-26.155168406699001,51.3842572060921
29.543445079013502,17.026195294457299,-6.48671303406914
29.696883171380701,-19.278341136739201,15.0076204845376
-26.031307013258999,-20.993209327357501,-0.228937994005817
32.200550237218003,-29.4025594588723,-9.47711399570634
32.1646440778349,-30.414456535365002,-9.16068206401437
-10.780719132592401,-59.296144614878401,-33.6266104563584
2.4581836225881402,-60.421347108927002,-29.9599377973563
10.182085280059701,-51.706676299726702,-29.8932529330461
-24.121499432296901,-26.0120289432056,-15.8864165864278
-34.491103018477901,-25.790769982093401,-15.0701142766046
-34.161274813160297,-21.095104274745498,-9.58376390216295
10.969699583200001,-26.658298077445799,12.5373619519567
20.529003822034401,-25.521802151937599,10.1868330963594
10.882859892903699,-27.349242898332498,8.83790104946575
-10.816024660351401,-18.343277509853401,16.6655225823134
-8.8747295540333209,-24.552520828012302,4.18322867079282
-22.0486211373339,-23.120120293228702,8.53915367719615
-13.374544399576401,-22.175725197652401,9.10107745408055
-15.9167379808174,-25.177040416931,1.30171388027839
-29.725290670511502,13.6552210769428,-2.85757752326666
2.3043014583377901,-10.4234394722011,8.16395541907924
7.0796839966405702,-9.1133267385955996,9.03863562233313
12.6650459611195,-9.0485227541237805,10.1333720656015
2.3279985837147801,-10.899419273375299,5.92706117303281
23.6889079144253,-12.788309039915299,-0.49842973113167
22.1772566812786,-15.2060838392867,-5.86151035046152
-0.39078701563233198,-17.998702809682801,-11.0822925568173
-13.6213534954386,-15.502959549445601,11.0812258258932
8.4487126512606903,-16.8867517672148,16.7265757073529
3.6973928186886198,-19.4733116923077,8.20067946652083
12.835323212072501,-19.767665728723099,6.37626390580084
-19.2843392246718,-14.4280349663681,11.5246878160338
-8.2867862917626294,-18.284124352020399,2.77258647856359
19.498931740613902,-17.977789432000002,10.3667530243627
12.4031187197821,-20.006176285272801,-1.53841235247672
-16.227150675668899,-19.456088818138401,-1.07542323441443
-0.117734871695319,-20.629544207455801,-2.87751305755368
-9.5187628988499906,-22.132590626516301,-5.63123798616668
7.7589566987822396,-22.5106604641384,-5.2975841078834
-18.4224680052636,-20.885937520940502,-5.66074885210301
-20.5821593553604,-20.826362510230801,-5.91879198566545
-57.840314121560297,-12.094480876973099,-25.8435879900666
-23.120652133907601,-4.6480312543524596,-12.5212273912619
-25.279624966593101,-6.4660069004232801,-19.463781764987
-26.282107282540998,-4.7419068314322299,-13.8326835296474
-31.592730925144799,-7.2895221299269002,-21.1887077719919
-30.467812972510401,-7.2086519071251196,-21.2833961492404
-25.348845185002698,-7.9614448441494998,-6.76410221370031
-27.5224827955048,-8.6404000537504899,-10.48566217786
-35.0308683534154,25.122154392963399,1.4383947076685
16.9407625411915,-33.481497341321202,67.0730543598794
-48.966921288039003,-53.883475846774701,-18.5632763176447
-46.850576512721297,-35.769172574698999,-22.3720075430781
-38.330930234057597,-36.872100796433699,-27.66845356241
-33.617583275377697,-30.770125472594401,-19.0054695719027
33.309659007882701,-33.877795966792398,-17.4930125796179
38.665935564084201,-39.388458558239499,-25.9850467324979
-42.600005963801699,-17.6543714907998,7.4179547438482
-31.832104656640301,-18.055893487290302,6.68193461971981
43.876657883399297,-20.4100662865503,9.76213982191637
32.194723184334201,-21.933402640828898,6.37215468695853
-63.167387084799401,-25.232152468049399,1.46978716075676
-58.718825381331797,-28.240895602040599,-7.31840022902981
-61.678668124384401,-34.6661231219123,-22.4130468295019
-54.084347397844098,-37.472274948462797,-28.1030683757723
-56.238447643527699,-34.392230496631797,-21.2048569959155
69.209892895447297,-25.034732387105901,5.09471905547809
62.1706373617399,-28.4271424102113,1.0816898062716
54.634369534161301,-31.908982041935499,-1.81531437696422
56.065382124951398,-35.588894112978601,-10.9721106916775
50.474066896470603,-38.536391456810698,-22.0289470745961
63.5918328899362,-38.220040101885402,-23.6307550951335
55.947058905880198,-36.402774814429002,-14.6883674492662
46.152223336507497,-38.468290049862901,-22.1735800212027
67.250838776189795,-21.059809366940001,20.6653826321
60.064945334689497,-23.079973786337298,12.2153288082449
-35.1451365256302,-0.40840793302258399,48.2125336995829
-47.479191883255503,0.75842176742775402,55.1576242410549
-57.682085770403503,-0.65543196212071297,44.0881585747478
-36.802564932980502,1.6834468858463001,57.7886987210838
-2.9984941398840101,8.9121968852760602,61.378851442203
-20.522802299281899,5.1258402608001399,58.5735475158698
-25.118633641591401,4.5624412111944102,58.2212918096846
8.4490446587046701,-8.2335258397938507,53.8393653364484
38.300334670648198,0.87484794075407601,53.3804116378641
46.324264220016303,0.62012134460423296,56.4964568076969
53.9969495563832,-3.5401612036952601,50.6049221681638
50.8818514006283,-8.5365154213581,43.7290016662915
24.4851911499286,-4.3435075209506202,49.575622166431
27.639221546820998,-4.0204544867735299,50.9472157874676
36.461932503169002,-0.42297726836803301,56.6413572921059
52.290972774971202,-11.5086740710406,40.6148592060622
-55.546248716879802,-6.6172864461746403,33.8591817084646
-59.997819931868001,-6.8973998138778798,35.3060352434854
-2.0504202899972701,47.039240654480402,33.6971645581918
28.763846669374299,-3.1779889017879399,54.0562346220049
-27.021446662330099,5.1613863828610302,61.9867259327835
48.618406956863801,-37.890785013517103,-19.9349441201598
51.750340478589699,-31.7208604393239,-2.13994619351779
-55.834201967122901,-37.448531893692397,-28.5256833345787
-61.334901446593499,-28.056958272009801,-5.59295775863634
-25.718403592474999,-1.35835945432076,5.68729421865648
58.246079970787498,-1.5191854026304501,23.4824516236153
22.751891821008599,-11.699105298180299,0.407854412616433
-45.003253317412302,-21.019914918427201,-21.7266925615594
-36.443522172708903,-23.500211349203401,-30.616397637431
-22.128868883343898,-21.4351189443822,-25.1777169915282
-26.934858624885301,-21.451979997457698,-26.8878806503522
-8.6648535011394507,4.97368452699728,40.9431765606113
-2.68382091453639,-2.5952929466453099,31.7925377280015
7.0088516001982404,-11.218251503213899,36.0479164697386
2.3683936970111801,-8.3058078121030494,32.782938957194
-7.78935149854627,-9.1257636266696291,26.8915351655654
15.6298703800665,-7.1924889781852004,37.8839075848917
-65.199501611434101,-7.0536936231026699,5.0396874748579
-39.039290001715301,-9.5303376323729001,-1.61240508127413
49.320847262133398,-15.627883301231799,-8.32415949400065
50.890619759244203,-17.7524925534135,-11.3984794182233
59.483802550549598,-21.5196807749575,-21.3427471835332
45.417208368154597,-26.853131172075098,-25.5424772374642
50.885838802637402,-28.265942557141699,-29.0956687646794
58.924398508254299,-23.9975401581322,-24.3931165159969
-51.3921953454918,-13.8398123971457,-5.50901844844043
-53.9677496782951,-19.375909067757799,-12.2543888989453
-54.6979436631879,-21.4431182742277,-18.6142840710714
-43.723825620780602,-10.794353744648699,-7.20767282281377
31.606865934407999,-1.1740113561319401,4.51470482817018
-33.173218641450099,-0.80239804123426195,2.63033551385147
-55.212939376442201,-21.433034706015,34.2451713307964
-20.7237084895538,-11.4205777369997,2.42133986370949
29.905763907358001,-25.406019071614701,-25.5458692264502
32.615967400222999,-13.8712272295832,6.90944096874319
-48.275752131997102,13.2774155379647,34.5338000323128
57.028179533910297,-23.701721130422001,-23.2358493676276
56.868101666822298,-21.241438270625,-20.0058940700805
-54.550670455333801,-23.0997450150196,-23.5184600774827
14.8654360974491,-5.5065394770121996,21.119370139767
-28.049860462087299,-9.6459707606422498,3.83198501184182
47.232233182999899,9.8016487418487905,39.5638775078166
25.508347618613598,16.1791104522982,49.9193740336348
50.5865463929862,-8.0854930558621394,2.41735129104135
-64.347133596095205,-31.294881037580598,25.0453028900044
5.2753592446928703,47.038435156909202,31.0486942774117
34.618448351107503,-5.4651670410660804,-1.95231625521576
-34.446157486472103,-12.8229638519711,2.93168872938915
-34.692903663497297,-14.5854728207419,13.9683604786091
-34.3170529685896,-4.8909187862480996,-1.29112452595183
44.719286241518503,9.4040151434852994,36.763476872839
-7.4729226051605204,18.482908650736501,49.5112191844544
6.3964799587594996,15.0666665425787,48.0744106905141
-9.5218937973070901,17.3816992498482,31.7396606619428
-1.5839356547205901,15.160208380140601,27.7517706758306
8.1962397107827005,14.452695403453101,33.973135951098
2.7784257622147299,13.9184146191184,27.695327485374
-20.9876743610217,19.836926227420498,55.1194285171338
-28.727261012323002,17.6694908977389,54.516317318901
-47.628107019785197,8.5622888839292202,32.5184020818598
-60.439511580034697,5.5635724913314402,35.5154059989168
-43.922254930482602,12.4375141665793,32.8139544877385
57.116441521712602,2.6234154413258999,28.2713818460214
62.692702605471901,1.5110696496817,28.4851367162928
57.963944673317599,-4.3686084564729404,19.1501205742325
66.539892761306106,-4.6326055163833297,18.3821418627681
67.724724926130605,-6.4207098486084604,13.6202964705159
15.9998801912113,-5.5338840172411601,20.8801437672834
23.887858871795501,-9.9768526731328606,9.72832260251809
22.817589357939401,-9.8329770311883102,4.83126700423024
-64.054558754813101,-1.53691524471395,11.4470226252079
-68.077523660638406,-12.3383795013702,0.110946912409314
-52.189894725693797,-7.4303866115296602,4.65036070800422
-57.369532063802701,-25.9781403335653,-32.0058991592425
57.881514260570803,-7.8181642063218,4.87695394552842
44.2400883801904,-7.6551570193703196,4.38932891479449
-18.2280346079643,-2.8360782920759098,20.6540531087553
-27.10075288913,-9.6540732639433298,3.85098675715525
21.554018440758899,-24.6511023939856,-21.2920581686943
-23.4256689716353,-9.5028383968596408,5.30284577732396
41.1728819013411,-13.852876533053299,-7.77541399330317
39.912255833609102,-26.914811578725899,-27.1870901950531
-57.2216109486668,-23.4775212157063,-24.455556113586
38.2922468757464,-9.9304687954914606,-2.843945743464
-14.5890085658381,30.1925031157263,51.6119805535751
10.518728486974201,44.467386061379699,28.5959386065057
-1.51274396091879,-14.3686788296726,32.8815149152896
-61.176054998328702,-42.015552813560397,-8.37573472203958
-47.639365383266998,-42.942417042272702,-14.0216877364459
-58.181231164587501,-42.9995203530937,-11.0709613289337
-33.3600812289299,-36.451422975568903,-16.4783549849257
50.315172989776897,-48.867408823642599,-17.111575186293
61.564444341938596,-50.427514419642698,-20.4436982465483
41.864030002042902,-48.137373024231401,-16.8157253263277
29.550911915495199,-44.191055716220298,-17.2445810863807
16.941099371438,-36.701608219948298,-11.7255220916136
30.600566330314301,-39.744406506849103,-11.7334178379054
-59.479312800719903,-27.747038677928099,18.0485593795971
-57.927774090170701,-34.608992429751602,7.02835161195276
-35.878996572691001,-31.146422376497799,16.8573966484124
-47.624936648699702,-32.280939103849697,14.980329248331
64.6555480607569,-41.199425876823803,-0.288880421593936
59.783371010464798,-44.767725025597997,-7.23574704644057
57.895205553060798,-46.664450767839703,-9.28416340483551
-44.185364480566903,-9.5620403923917898,63.4468499323864
-36.935215310863299,-13.1919381492922,44.2629803255736
-38.445658427282702,-15.282140315794701,42.247739530653
-51.158756359976202,-20.606566190905198,36.3398246958559
10.823979161880199,-14.525543063702299,74.2672013717889
3.00316883746626,-15.708082548757501,75.4263174498702
-13.887683074785199,-11.298481602959001,41.7264696375425
5.6756643864771599,-21.943066145674901,41.6035863161732
34.605898497322698,-16.396992518857001,49.5380305921621
41.114432140223599,-12.8971399404449,66.8627596752306
53.010625008358502,-15.744470793633999,57.4339769258108
57.585668749306002,-19.592776603015501,53.580719912058
63.132328448520802,-25.198368302332401,45.3554636140696
62.428915016484297,-33.988709787196697,17.6655018073074
-37.751557892977601,-25.497326267460199,62.5825996991635
-40.6374246179181,-82.870873581321803,24.8853033323984
-35.1550808793465,-61.836356491336197,44.8985620662723
12.500970883811901,15.331063748753399,0.906252474454021
-3.36231530730144,-3.9797354417476498,72.8011209559164
-6.5850576666299601,-10.003780165643599,40.0514236141448
47.337342259153203,-7.46261364693276,-45.5215075199122
-57.933340457516898,-36.016296197939198,2.53212309843355
-62.348796670722201,-27.385479293061401,18.9354224060364
47.491609385097703,-47.828032419104602,-12.3636578881089
13.603878715798499,-19.752311026789801,40.4329640153009
-47.868702246653299,-41.438192717930498,7.9394382487794
-49.775418100328103,-43.593546598759602,3.45755771858057
-60.509693307845701,-45.872090730815799,-0.914615895106986
-57.373016155174497,-50.369142035834798,-11.7715633672093
-63.317650368489403,-36.779724205335299,18.6023919866581
-67.338564124560705,-38.014730901383899,17.5742460483037
-58.550124850669597,-46.431115489448601,-1.86596053844489
21.103926061433899,51.398438487118199,-18.0266094799961
37.013514063096302,52.012522550970203,-14.3849370229585
-37.768681564015097,42.987799067653199,-14.1975445671974
-34.015534297630303,43.321023969067703,-12.6791363513576
7.6319396008982698,39.537240215159102,-24.5166145745522
-5.5348388195010401,47.219945430151498,-14.1539783873525
-1.2791095455422301,59.281705098072898,19.8869739777938
4.0021349728726401,54.9596501960187,6.66205735356064
32.796972082358302,55.4247023673611,4.90824268516833
-40.678255252974701,-86.003481655316406,-9.35451015890154
-21.727419356786701,-87.269881951028196,-16.167228671119
19.644231061302499,-87.969550435758507,-16.3732846538109
14.0110588023606,-85.771364166294006,-14.6165005775994
11.5513404906775,-69.489606849628899,12.8742567589314
12.4824438940408,-73.986009010272497,3.6948594726222
-45.904613865022498,-75.616129901161003,24.8140648812953
-46.652053060552099,-77.355585175877906,14.3509638263082
37.098150528512697,-64.900411659504897,43.8012321068572
7.0176778882054496,-67.078727153135702,22.2529417520682
28.696823994871899,-67.971051232418205,28.9934377229745
39.820992084574698,-79.063168724412193,13.426117705629
45.758793508490299,-80.554532847600697,8.51335807447987
-34.386911777946899,-61.937331552181703,44.7869444628858
-39.882953921258,-61.409121704680302,57.7228731896745
10.3666921097242,-51.025290729387599,76.6129578837428
4.9677392760896497,-56.905423321508202,53.2664094924347
9.2698296683994705,-62.015264013064296,8.16462029655039
41.883710958784,-73.567110505336302,-1.7547631388183
36.522911499593803,-75.945595007188999,-6.3423962764903
11.964502400464699,-66.9091462313894,56.1211393079131
4.5383506613588098,-67.036485650031096,44.8988661415079
-2.5621312648493899,-69.115324447584499,18.0080430975084
-9.3207836653076104,-74.8378619371871,9.51423304761888
-5.6954953961549997,-64.089769007700994,21.8870733098094
-1.36257481790964,51.727725239760701,-24.4630355485803
-12.7266256558962,54.6444631148266,-21.7784578251252
-9.1100043954181,44.356654070673798,-22.9065738165087
-4.6145495003411696,65.475984624679995,5.51303041436028
-3.3114208206796398,-52.847609874399602,64.4703675826953
1.54100538072024,-65.841014142461106,36.6121812754197
-5.6702393505597097,-70.294696039826704,28.6329089387828
-6.3191391572968802,-80.124945136199898,18.8418052172013
3.9331830868876501,-99.730705245478703,7.32965876740375
-20.9579894416079,-67.355088480122902,63.2154429108561
-21.246280428472399,-69.334106251379097,52.656753914636
-19.934888354173498,-69.701787581212002,52.1002023293873
-37.923624714817898,-74.412590713813501,50.2063102498156
-33.379264762227002,59.4282630688135,-5.45923247089927
-28.599606615215102,50.138488560838098,28.9525654159076
30.343352415511099,54.744832168212803,-4.33569317582788
-3.7208273485510102,65.356167785677798,5.56177287285113
-9.2150102215938201,-94.046620826812799,-15.4306337673991
9.3551223972875501,46.089980680367098,-10.1270458433237
-8.0624663590497097,-94.2295771875079,-15.7190496606935
-14.543890510540299,-84.452919616709295,-14.1962235394801
8.3167130337307498,61.270999461066502,-21.3380478792795
-39.948094842169397,-82.824181133605606,24.9560296165962
32.071373383518598,-66.280826429540795,63.0059793158234
1.98029104756388,50.238295342976798,-24.9244879957629
