structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,mni_nlin_x,mni_nlin_y,mni_nlin_z
9143,92,160535133,BS,"7","facial motor nucleus, left",159127686,83,144,132,8.0,-41.0,-35.0,7.5874733745650902,-40.020611896551799,-36.5221554744222
9137,92,160535307,BS,"6","abducens nucleus, left",159122217,89,143,134,2.0,-43.0,-34.0,1.8699281109886501,-42.635837301462601,-35.6443091073302
9158,92,160535291,BS,"RPn","pontine raphe nucleus, left",158763790,92,144,132,-1.0,-41.0,-35.0,-2.1790390364590499,-41.428301082707797,-36.7487259333631
9698,92,160535275,BS,"8Ve","vestibular nuclei, left",159233515,82,144,134,9.0,-43.0,-35.0,8.1844886745116394,-41.962791846099599,-36.7135596928387
9677,92,160535259,BS,"Sp5","spinal trigeminal nucleus, left",156687325,80,144,131,11.0,-40.0,-35.0,10.383897488495,-38.855039605176799,-36.4208672744419
9492,92,160535227,BS,"Pn","pontine nuclei, left",158931290,87,145,120,4.0,-29.0,-36.0,4.9764395358411404,-29.328207560546399,-36.5126799876855
9207,92,160535211,BS,"Pr5","principal sensory nucleus of trigeminal nerve, left",156681113,80,144,132,11.0,-41.0,-35.0,10.2220502479144,-39.9312560289248,-36.5501980273473
9206,92,160535195,BS,"Mo5","motor nucleus of trigeminal nerve, left",158173122,83,144,131,8.0,-40.0,-35.0,7.67914595853959,-39.058836533300003,-36.4235367634135
9155,92,160535147,BS,"SubC","nucleus subceruleus, left",156260971,85,144,132,6.0,-41.0,-35.0,6.0159725348869202,-40.4128030788521,-36.4831237349816
9207,92,160535131,BS,"Pr5","principal sensory nucleus of trigeminal nerve, left",156257330,79,140,130,12.0,-39.0,-31.0,10.9049275413154,-37.667170345666499,-31.6720389320414
9206,92,160535305,BS,"Mo5","motor nucleus of trigeminal nerve, left",158171729,82,140,129,9.0,-38.0,-31.0,8.1323446871157703,-36.541220931449701,-31.7254927632044
9178,92,160535289,BS,"SOC","superior olivary complex, left",158887693,82,140,127,9.0,-36.0,-31.0,8.6191374995305594,-35.142385623335898,-31.2645372137538
10148,92,160535257,BS,"CGPo","central gray of the pons, left",159336482,86,140,132,5.0,-41.0,-31.0,4.7720027857765004,-40.593510307406198,-31.6355728775676
10148,92,160535241,BS,"CGPo","central gray of the pons, left",159053883,85,140,132,6.0,-41.0,-31.0,5.5431921811687097,-40.252934771021003,-31.6996767762668
9492,92,160535225,BS,"Pn","pontine nuclei, left",158930493,85,141,116,6.0,-25.0,-32.0,7.3462847021140796,-25.327284497841099,-31.3627220537424
9456,92,160535209,BS,"MBRa","midbrain raphe nuclei, left",158753224,91,140,132,0.0,-41.0,-31.0,-0.52725890607026304,-41.452934330105201,-31.9095761543015
9161,92,160535193,BS,"PRF","pontine reticular formation, left",156257944,89,140,128,2.0,-37.0,-31.0,2.1194930223044701,-36.656446111680502,-31.7209188962529
9152,92,160536137,BS,"MPB","medial parabrachial nucleus, left",158874366,82,140,133,9.0,-42.0,-31.0,7.9499756614340198,-40.950729317171202,-31.9619687428629
9149,92,160535161,BS,"LC","locus ceruleus, left",158875398,85,140,133,6.0,-42.0,-31.0,5.6034262482853796,-41.399943531433102,-31.6757356864954
4258,8,160091979,CX,"DG","dentate gyrus, left",145964255,120,129,107,-29.0,-16.0,-20.0,-30.748732701035099,-18.617356400550602,-18.3850209237045
4257,8,160091963,CX,"CA4","CA4 field, left",145964256,120,128,107,-29.0,-16.0,-19.0,-30.4780075061716,-18.663639991790902,-17.2934536957552
4255,8,160091931,CX,"CA2","CA2 field, left",145964254,124,125,107,-33.0,-16.0,-16.0,-34.2363599629699,-18.5116141136781,-14.2811097053878
9149,91,160535145,BS,"LC","locus ceruleus, left",158869764,88,134,131,3.0,-40.0,-25.0,2.93452850087548,-39.295722948580099,-24.9059462405539
9152,91,160535129,BS,"MPB","medial parabrachial nucleus, left",158867395,87,134,132,4.0,-41.0,-25.0,3.9241310615972198,-40.266194303286198,-24.9560103529441
9146,91,160535303,BS,"LPB","lateral parabrachial nucleus, left",158402832,82,134,132,9.0,-41.0,-25.0,8.2514318663189901,-40.078785325946797,-25.7044520484734
9161,91,160535287,BS,"PRF","pontine reticular formation, left",155768282,90,134,127,1.0,-36.0,-25.0,0.98764498375079601,-35.727158715317003,-25.183645422387
9492,91,160535271,BS,"Pn","pontine nuclei, left",158165401,87,136,114,4.0,-23.0,-27.0,4.9620353494763698,-23.007272403426999,-25.9903333425776
9103,91,160535255,BS,"IC","inferior colliculus, left",159148114,82,134,134,9.0,-43.0,-25.0,8.2293501981898505,-42.370176270043999,-25.8504835217288
9004,91,160535239,BS,"CGMB","central gray substance of midbrain, left",159148116,86,134,133,5.0,-42.0,-25.0,4.9108431785238604,-41.424295811139999,-25.034573704063
9103,91,160535207,BS,"IC","inferior colliculus, left",158161970,83,134,134,8.0,-43.0,-25.0,7.4418779773002202,-42.385984415789203,-25.639786952963
9075,91,160535191,BS,"SNR","substantia nigra, pars reticulata, left",157683080,83,135,121,8.0,-30.0,-26.0,8.3911506657349708,-30.215977330388,-25.5193688649255
9074,91,160535175,BS,"SNC","substantia nigra, pars compacta, left",157683052,85,135,119,6.0,-28.0,-26.0,6.6197721545966299,-28.2060164508787,-25.56527232418
9067,91,160535159,BS,"VTA","ventral tegmental area, left",157706283,89,135,118,2.0,-27.0,-26.0,2.5828593405179201,-26.9654345337389,-25.6506181381019
9020,91,160536103,BS,"CnF","cuneiform nucleus, left",158401655,84,134,131,7.0,-40.0,-25.0,6.4087824481891698,-38.590167566603803,-25.5359962874955
9004,91,160536087,BS,"CGMB","central gray substance of midbrain, left",153253835,85,134,133,6.0,-42.0,-25.0,5.7827230882393899,-41.271396472592997,-25.2199876732461
4596,6,160091486,CX,"LHA","lateral hypothalamic area, anterior region, left",158440291,100,115,86,-9.0,5.0,-6.0,-9.8493902155309296,4.1405164020810501,-6.62052972825718
4301,6,160091500,CX,"SptN","septal nuclei, left",158438715,98,95,86,-7.0,5.0,14.0,-7.3971083331732599,4.7943251049524198,15.0133950301862
4518,7,160091618,CX,"Sb","subthalamic nucleus, left",158449679,99,117,94,-8.0,-3.0,-8.0,-8.9968321610735007,-3.3046224081402702,-8.23798903097867
4507,7,160091570,CX,"ZI","zona incerta, left",146480724,100,112,94,-9.0,-3.0,-3.0,-9.8535030887635209,-3.2405525795843801,-3.41494312327018
4672,7,160091584,CX,"MM","medial mammillary nucleus, left",158439716,93,124,94,-2.0,-3.0,-15.0,-1.9545967335775201,-3.3444551106647,-14.1902217284323
4440,9,160091897,CX,"LGd","dorsal lateral geniculate nucleus, left",157974498,118,118,117,-27.0,-26.0,-9.0,-26.825919600000798,-28.148939868676901,-8.11517226199191
4444,9,160091833,CX,"MG","medial geniculate complex, left",156901563,105,113,117,-14.0,-26.0,-4.0,-14.4278457615,-26.484040211578101,-3.93304067427031
4440,9,160092007,CX,"LGd","dorsal lateral geniculate nucleus, left",156688954,117,118,117,-26.0,-26.0,-9.0,-25.841859025660298,-28.009848158231598,-8.20050467148041
4409,9,160091959,CX,"DTLd","lateral group of nuclei, left, dorsal division",156890323,109,100,117,-18.0,-26.0,9.0,-18.472781679171199,-26.967307143253699,9.59316872389731
4258,9,160091911,CX,"DG","dentate gyrus, left",148020449,121,122,117,-30.0,-26.0,-13.0,-30.0706946562333,-27.997488580456,-11.444798249568
4251,7,159438961,CX,"S","subiculum, left",147944867,108,139,94,-17.0,-3.0,-30.0,-23.442765824144299,-5.2249942017999098,-29.2408573843736
9558,93,165372250,BS,"12","hypoglossal nucleus, left",159225465,90,161,134,1.0,-43.0,-52.0,0.92922388111688503,-43.475253457427101,-54.4222617537183
9543,93,165372234,BS,"Cu","cuneate nucleus, left",158868946,85,161,135,6.0,-44.0,-52.0,5.2942933708643301,-41.774586390034997,-54.18459651435
9546,93,165372218,BS,"10","dorsal motor nucleus of the vagus, left",159225466,89,161,136,2.0,-45.0,-52.0,1.9139720630174699,-45.683904179231398,-54.2293601033762
9698,93,165372202,BS,"8Ve","vestibular nuclei, left",158869030,87,161,138,4.0,-47.0,-52.0,3.91771509735648,-47.034319310857001,-54.0021216549824
9677,93,165372186,BS,"Sp5","spinal trigeminal nucleus, left",156835216,85,162,132,6.0,-41.0,-53.0,5.9044419554480596,-38.639398349912199,-55.2619510393693
9642,93,165372170,BS,"RaM","raphe nuclei of medulla",158927710,91,161,131,0.0,-40.0,-52.0,0.12293896233550999,-39.529315234406702,-54.7603582651792
9614,93,165372154,BS,"LMRt","lateral medullary reticular group, left",156877130,86,162,129,5.0,-38.0,-53.0,5.4966680668630596,-36.625340069318703,-55.1873250228757
9598,93,165372138,BS,"GiRt","gigantocellular group, left",159236990,89,162,132,2.0,-41.0,-53.0,1.97037579880853,-40.481440445508099,-55.7037764196387
9561,93,165372122,BS,"IO","inferior olivary complex, left",158445912,88,163,127,3.0,-36.0,-54.0,3.6917282848911599,-34.989393263938197,-56.4427803949515
9543,93,165372252,BS,"Cu","cuneate nucleus, left",158880240,90,172,135,1.0,-44.0,-63.0,0.96176557503530302,-45.448348645823003,-67.5210621433788
9677,93,165372188,BS,"Sp5","spinal trigeminal nucleus, left",156883132,88,169,134,3.0,-43.0,-60.0,3.4007507896418798,-43.354663251081398,-63.4445217132759
9546,93,165372282,BS,"10","dorsal motor nucleus of the vagus, left",159227118,91,169,135,0.0,-44.0,-60.0,0.0064604009703333196,-44.959789242507199,-63.810212183746
9543,93,165372266,BS,"Cu","cuneate nucleus, left",158869725,89,168,136,2.0,-45.0,-59.0,2.1929364861395402,-45.9756699737639,-62.2525655030301
9561,93,165372106,BS,"IO","inferior olivary complex, left",158143206,88,160,125,3.0,-34.0,-51.0,4.0436710721182898,-32.926951070508203,-53.2502865794392
9698,93,165372280,BS,"8Ve","vestibular nuclei, left",158834741,84,157,134,7.0,-43.0,-48.0,6.2434493526776,-40.369661733751897,-49.8080509022474
9677,93,165372264,BS,"Sp5","spinal trigeminal nucleus, left",156833972,86,157,132,5.0,-41.0,-48.0,4.6178383862752703,-39.230424832085099,-50.0315884877426
9642,93,165372248,BS,"RaM","raphe nuclei of medulla",158926265,92,158,131,-1.0,-40.0,-49.0,-0.79920532862686899,-39.356974942454897,-51.4915673649232
9598,93,165372232,BS,"GiRt","gigantocellular group, left",159225204,90,158,131,1.0,-40.0,-49.0,1.1051237145532999,-39.229845068518202,-51.3759760073622
9529,93,165372216,BS,"8Co","cochlear nuclei, left",156834027,80,157,133,11.0,-42.0,-48.0,10.7483944213564,-39.482007133645602,-49.1929188927635
9520,93,165372200,BS,"Arc","arcuate nucleus of medulla, left",159333435,92,160,126,-1.0,-35.0,-51.0,-0.42879522906719297,-33.745371522814601,-53.5366696326901
9492,93,165372184,BS,"Pn","pontine nuclei, left",159051862,92,160,122,-1.0,-31.0,-51.0,-0.073522441066950994,-29.872079394105999,-53.238896285216
9143,93,165372168,BS,"7","facial motor nucleus, left",159378732,86,158,131,5.0,-40.0,-49.0,4.7787807347196098,-38.121754503754303,-51.1098098215014
9137,93,165372152,BS,"6","abducens nucleus, left",159378546,87,156,135,4.0,-44.0,-47.0,3.8304343365827802,-43.7555495191516,-48.6905264109524
9598,92,165372136,BS,"GiRt","gigantocellular group, left",158928369,91,149,125,0.0,-34.0,-40.0,0.33158213690458099,-33.886737292315999,-42.0132210687929
9492,92,165372120,BS,"Pn","pontine nuclei, left",158947506,87,151,115,4.0,-24.0,-42.0,5.8167967621100098,-23.751070350576601,-42.6866236074806
9178,92,165372104,BS,"SOC","superior olivary complex, left",159041175,85,149,123,6.0,-32.0,-40.0,7.2299223357974496,-32.225466957661602,-41.570479442393
4440,8,160091901,CX,"LGd","dorsal lateral geniculate nucleus, left",147711165,116,119,107,-25.0,-16.0,-10.0,-25.6155658269677,-17.854497620680601,-8.73884226852451
9074,8,160091869,CX,"SNC","substantia nigra, pars compacta, left",147064714,106,120,107,-15.0,-16.0,-11.0,-16.053540554088901,-16.705661787553499,-10.3549192970545
4254,8,160091915,CX,"CA1","CA1 field, left",147066198,123,131,107,-32.0,-16.0,-22.0,-34.192625858759399,-18.291074091633,-20.1365910688377
4648,6,160091566,CX,"PeF","perifornical nucleus, left",158405196,99,118,85,-8.0,6.0,-9.0,-8.8936078350504104,4.8484674680439204,-9.44076152306386
4637,6,160091502,CX,"VMH","ventromedial hypothalamic nucleus, left",158405193,97,118,85,-6.0,6.0,-9.0,-6.6331078687013996,4.9421820847694704,-9.43695584465241
4311,6,160091644,CX,"DBh","nucleus of the diagonal band, left, vertical division",158440955,108,121,86,-17.0,5.0,-12.0,-18.7837537352369,3.0784869029457602,-12.884553238423
4310,6,160091596,CX,"DBv","nucleus of the diagonal band, left, horizontal division",158454222,105,116,86,-14.0,5.0,-7.0,-15.1743914050274,3.78407736138927,-7.84936691384602
4367,6,160091662,CX,"COMA","cortico-medial group, left",157580518,112,128,86,-21.0,5.0,-19.0,-23.976950859229198,2.17513527227884,-19.2501170215251
4351,6,160091646,CX,"BMA","basomedial nucleus, left",157073473,111,133,86,-20.0,5.0,-24.0,-24.816290344515298,1.52362037680841,-24.2323730944126
4379,6,160091614,CX,"LA","lateral nucleus, left",147013783,112,139,85,-21.0,6.0,-30.0,-28.036643191969802,1.0831240207597299,-30.8266068215519
4308,6,160091598,CX,"nbM","basal nucleus of meynert, left",158032961,116,123,86,-25.0,5.0,-14.0,-26.542079889784699,2.2424838243743701,-15.0009614474537
