structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,mni_nlin_x,mni_nlin_y,mni_nlin_z
4077,22,594,CX,"PCLa-i","paracentral lobule, anterior part, right, inferior bank of gyrus",37470,87,52,116,5.9,-27.7,49.7,5.65580304740819,-26.155168406699001,51.3842572060921
4323,11,2985,CX,"Cl","claustrum, right",40517,66,92,63,29.2,17.0,-2.9,29.543445079013502,17.026195294457299,-6.48671303406914
4323,18,2801,CX,"Cl","claustrum, right",41516,66,81,104,28.2,-22.8,16.8,29.696883171380701,-19.278341136739201,15.0076204845376
4440,18,2273,CX,"LGd","dorsal lateral geniculate nucleus, left",41473,116,94,101,-24.6,-24.6,1.3,-26.031307013258999,-20.993209327357501,-0.228937994005817
4266,17,2785,CX,"CA4","CA4 field, right",41142,63,104,106,31.1,-31.3,-7.3,32.200550237218003,-29.4025594588723,-9.47711399570634
4267,17,2793,CX,"DG","dentate gyrus, right",41141,63,104,107,31.1,-32.3,-7.1,32.1646440778349,-30.414456535365002,-9.16068206401437
4782,72,2795,CB,"Dt","dentate nucleus, left",73345,101,130,123,-9.7,-57.4,-32.6,-10.780719132592401,-59.296144614878401,-33.6266104563584
4784,69,2787,CB,"Fas","fastigial nucleus, left",75936,90,127,125,1.9,-58.4,-28.7,2.4581836225881402,-60.421347108927002,-29.9599377973563
4788,67,2874,CB,"Emb","emboliform nucleus, right",56000,84,125,118,8.5,-50.3,-27.8,10.182085280059701,-51.706676299726702,-29.8932529330461
4251,17,2858,CX,"S","subiculum, left",41212,114,108,100,-22.6,-27.4,-13.8,-24.121499432296901,-26.0120289432056,-15.8864165864278
4254,17,2850,CX,"CA1","CA1 field, left",41211,124,107,100,-33.2,-27.4,-12.9,-34.491103018477901,-25.790769982093401,-15.0701142766046
4281,17,2866,CX,"TCd","tail of caudate nucleus, left",41213,124,102,98,-33.1,-23.9,-8.0,-34.161274813160297,-21.095104274745498,-9.58376390216295
4450,19,2809,CX,"DTA","anterior group of nuclei, right",67019,84,85,109,9.0,-29.6,13.2,10.969699583200001,-26.658298077445799,12.5373619519567
4472,19,2817,CX,"DTLv","lateral group of nuclei, right, ventral division",67020,75,86,108,18.5,-28.6,12.1,20.529003822034401,-25.521802151937599,10.1868330963594
4487,19,2825,CX,"ILr","rostral group of intralaminar nuclei, right",73214,84,88,109,9.0,-30.5,10.0,10.882859892903699,-27.349242898332498,8.83790104946575
4395,19,2929,CX,"DTA","anterior group of nuclei, left",66981,102,80,102,-9.8,-21.3,16.8,-10.816024660351401,-18.343277509853401,16.6655225823134
4400,19,2857,CX,"DTM","medial group of nuclei, left",80127,100,92,105,-7.8,-27.8,4.6,-8.8747295540333209,-24.552520828012302,4.18322867079282
4417,19,2849,CX,"DTLv","lateral group of nuclei, left, ventral division",66985,112,87,105,-20.5,-26.7,9.7,-22.0486211373339,-23.120120293228702,8.53915367719615
4432,19,2865,CX,"ILr","rostral group of intralaminar nuclei, left",80126,104,87,104,-12.0,-25.4,9.6,-13.374544399576401,-22.175725197652401,9.10107745408055
4437,19,2841,CX,"ILc","caudal group of intralaminar nuclei, left",66984,106,94,105,-14.2,-28.5,2.3,-15.9167379808174,-25.177040416931,1.30171388027839
4322,12,2977,CX,"Cl","claustrum, left",36307,121,90,67,-29.0,12.0,-1.1,-29.725290670511502,13.6552210769428,-2.85757752326666
4455,16,3001,CX,"DTM","medial group of nuclei, right",665541,91,86,93,2.0,-13.3,8.8,2.3043014583377901,-10.4234394722011,8.16395541907924
4472,16,2993,CX,"DTLv","lateral group of nuclei, right, ventral division",665542,87,85,92,6.3,-11.9,9.8,7.0796839966405702,-9.1133267385955996,9.03863562233313
4512,16,3009,CX,"R","reticular nucleus of thalamus, right",362512,82,84,92,11.6,-11.5,10.9,12.6650459611195,-9.0485227541237805,10.1333720656015
4537,16,3050,CX,"Pa","paraventricular nuclei, right of thalamus, right",665540,91,88,93,2.0,-13.9,6.7,2.3279985837147801,-10.899419273375299,5.92706117303281
4314,16,3017,CX,"SI","substantia innominata, right",56068,72,93,94,22.0,-15.9,1.9,23.6889079144253,-12.788309039915299,-0.49842973113167
4519,16,2803,CX,"Sb","subthalamic nucleus, right",39177,73,98,95,20.9,-18.3,-3.2,22.1772566812786,-15.2060838392867,-5.86151035046152
9074,16,2811,CX,"SNC","substantia nigra, pars compacta, left",344600,93,104,95,-0.3,-20.5,-10.1,-0.39078701563233198,-17.998702809682801,-11.0822925568173
4417,17,3041,CX,"DTLv","lateral group of nuclei, left, ventral division",87542,105,84,98,-12.9,-18.3,11.6,-13.6213534954386,-15.502959549445601,11.0812258258932
4450,17,3033,CX,"DTA","anterior group of nuclei, right",87520,86,80,101,7.2,-19.9,16.9,8.4487126512606903,-16.8867517672148,16.7265757073529
4455,17,3057,CX,"DTM","medial group of nuclei, right",692605,90,88,102,2.8,-23.3,8.5,3.6973928186886198,-19.4733116923077,8.20067946652083
4472,17,3049,CX,"DTLv","lateral group of nuclei, right, ventral division",87525,82,89,102,11.3,-23.4,7.6,12.835323212072501,-19.767665728723099,6.37626390580084
4506,17,3065,CX,"R","reticular nucleus of thalamus, left",87541,110,83,97,-18.1,-17.1,12.4,-19.2843392246718,-14.4280349663681,11.5246878160338
4507,17,3018,CX,"ZI","zona incerta, left",690726,100,92,99,-7.7,-21.5,3.4,-8.2867862917626294,-18.284124352020399,2.77258647856359
4512,17,2978,CX,"R","reticular nucleus of thalamus, right",87521,76,85,101,17.7,-21.0,11.8,19.498931740613902,-17.977789432000002,10.3667530243627
4513,17,3026,CX,"ZI","zona incerta, right",87536,82,96,100,11.3,-23.2,-0.3,12.4031187197821,-20.006176285272801,-1.53841235247672
4518,17,3090,CX,"Sb","subthalamic nucleus, left",87528,107,95,99,-15.1,-22.5,0.0,-16.227150675668899,-19.456088818138401,-1.07542323441443
9005,17,3025,CX,"CGMB","central gray substance of midbrain, right",668917,93,98,100,-0.3,-24.1,-2.7,-0.117734871695319,-20.629544207455801,-2.87751305755368
9054,17,3034,CX,"RN","red nucleus, left",87527,101,100,100,-8.8,-24.8,-5.0,-9.5187628988499906,-22.132590626516301,-5.63123798616668
9057,17,2986,CX,"RN","red nucleus, right",668919,86,100,101,7.0,-25.5,-4.5,7.7589566987822396,-22.5106604641384,-5.2975841078834
9074,17,3002,CX,"SNC","substantia nigra, pars compacta, left",87529,109,99,99,-17.2,-23.7,-4.3,-18.4224680052636,-20.885937520940502,-5.66074885210301
