structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,mni_nlin_x,mni_nlin_y,mni_nlin_z
4282,6,156434429,CX,"BCd","body of caudate nucleus, left",126220130,106,100,82,-15.0,9.0,9.0,-16.3703736600391,8.6604501695220293,10.2501759608228
4282,7,156434555,CX,"BCd","body of caudate nucleus, left",126715264,103,90,92,-12.0,-1.0,19.0,-12.8188287980906,-1.0957763267290299,21.5349740111494
4746,61,156434505,CB,"He-X","X, left, lateral hemisphere",146148177,115,148,126,-24.0,-35.0,-39.0,-23.0141394552309,-34.2437557951936,-38.9644555307031
4743,61,156434489,CB,"He-VIIIB","VIIIB, left, lateral hemisphere",146148077,115,174,142,-24.0,-51.0,-65.0,-22.683851085044999,-52.640332718343402,-60.2500973641629
4736,61,156434473,CB,"He-V","V, left, lateral hemisphere",146149504,115,126,136,-24.0,-45.0,-17.0,-18.8153423224216,-45.094966918919603,-19.776932526773
4735,61,156434457,CB,"He-IV","IV, left, lateral hemisphere",146149594,115,139,125,-24.0,-34.0,-30.0,-21.393706129947802,-33.017300470418803,-29.6928019923125
4741,61,156434523,CB,"He-VIIB","VIIB, left, lateral hemisphere",146146376,115,167,164,-24.0,-73.0,-58.0,-23.336776268431699,-74.764763391615105,-55.1501513041355
4738,61,156434475,CB,"He-VI","VI, left, lateral hemisphere",146146285,115,132,168,-24.0,-77.0,-23.0,-21.047253982062202,-75.171753536864799,-19.2344817390486
4742,61,156434459,CB,"He-VIIIA","VIIIA, left, lateral hemisphere",146146475,115,173,155,-24.0,-64.0,-64.0,-22.995138566490901,-64.997563891330302,-60.711362644602
4741,61,156434443,CB,"He-VIIB","VIIB, left, lateral hemisphere",146146375,115,168,162,-24.0,-71.0,-59.0,-23.4209814429862,-72.819566578967894,-56.2297098534072
4739,61,156434411,CB,"He-Crus I","Crus I, left, lateral hemisphere",146146016,115,140,179,-24.0,-88.0,-31.0,-21.467469426961198,-86.567625030476407,-24.8414874565137
4738,61,156434585,CB,"He-VI","VI, left, lateral hemisphere",146146284,115,131,166,-24.0,-75.0,-22.0,-21.115842196231299,-73.278418506444794,-19.1757845631349
4728,62,149052712,CB,"PV-IX","IX, left, paravermis",128130461,105,169,134,-14.0,-43.0,-60.0,-13.9763789852864,-45.1463987514243,-57.8954654808868
4727,62,147712556,CB,"PV-VIIIB","VIIIB, left, paravermis",128198489,105,165,153,-14.0,-62.0,-56.0,-13.8875318894505,-64.284459788944304,-52.601660164661
4725,62,149052744,CB,"PV-VIIB","VIIB, left, paravermis",128198491,105,167,166,-14.0,-75.0,-58.0,-13.2646176941963,-75.512267891275101,-53.3124449991188
4724,62,147712652,CB,"PV-Crus II","Crus II, left, paravermis",146080228,105,154,180,-14.0,-89.0,-45.0,-12.8980035443653,-88.6520026220321,-39.4907722622398
4723,62,147712668,CB,"PV-Crus I","Crus I, left, paravermis",146080286,105,142,176,-14.0,-85.0,-33.0,-12.4360002725029,-83.757762512041595,-25.6784055005409
4722,62,147712700,CB,"PV-VI","VI, left, paravermis",146080299,105,128,168,-14.0,-77.0,-19.0,-12.483627015882,-74.834322782609206,-16.0335999014093
4710,63,147712592,CB,"Ve-VIIIB","VIIIB",146140622,94,150,157,-3.0,-66.0,-41.0,-3.4555064752481499,-67.099103593793302,-39.705810070959
4708,63,147712718,CB,"Ve-VIIB","VIIB",146140660,94,140,161,-3.0,-70.0,-31.0,-2.9202907807973499,-69.211472881916094,-29.8813770519211
4700,63,147712654,CB,"Ve-I-II","I-II",146140536,94,132,134,-3.0,-43.0,-23.0,-2.17684987379304,-43.527227682227497,-23.6745236880474
4713,63,147712608,CB,"Ve-X","X",146140135,94,138,138,-3.0,-47.0,-29.0,-2.5346505774896602,-47.594320342764,-29.1829222455683
4710,63,147712576,CB,"Ve-VIIIB","VIIIB",146140617,94,155,156,-3.0,-65.0,-46.0,-3.5780050803258598,-66.932995423140696,-44.6298460365827
4709,63,147712734,CB,"Ve-VIIIA","VIIIA",146806878,94,156,158,-3.0,-67.0,-47.0,-3.5985937700768198,-69.198178470142693,-45.6749343246058
4700,63,147712638,CB,"Ve-I-II","I-II",146140535,94,131,133,-3.0,-42.0,-22.0,-2.1192135114820698,-42.306781753539497,-22.9459023080721
4706,63,147712688,CB,"Ve-VIIAf","VIIAf",146140966,94,129,173,-3.0,-82.0,-20.0,-2.4570386643583699,-78.676395726711803,-17.2178683760787
4705,63,147712656,CB,"Ve-VI","VI",146140945,94,128,161,-3.0,-70.0,-19.0,-2.8979326659281299,-68.278431180826701,-19.6200389928214
4706,63,147712672,CB,"Ve-VIIAf","VIIAf",146140965,94,131,173,-3.0,-82.0,-22.0,-2.41921736318091,-79.090671246320696,-18.5890631563978
4702,63,147712590,CB,"Ve-IV","IV",146140784,94,113,141,-3.0,-50.0,-4.0,-1.2244525730096201,-49.243487298450198,-5.61132066406712
4703,63,147712606,CB,"Ve-V","V",146140797,94,107,153,-3.0,-62.0,2.0,-0.60870116789140805,-58.898809558018101,1.05029541552344
4702,63,147712574,CB,"Ve-IV","IV",146140783,94,115,140,-3.0,-49.0,-6.0,-1.28485307245391,-48.3265584504394,-8.14595305756319
4701,63,147712732,CB,"Ve-III","III",146140729,94,117,133,-3.0,-42.0,-8.0,-1.71585350135232,-42.1519774370676,-11.513279268619
4244,9,149052680,CX,"PHG-l","parahippocampal gyrus, left, lateral bank of gyrus",127050011,117,133,119,-26.0,-28.0,-24.0,-21.613124687976899,-26.3222205082239,-22.5959443966549
4282,9,147712602,CX,"BCd","body of caudate nucleus, left",127945266,112,93,118,-21.0,-27.0,16.0,-18.917549950448699,-24.915616272946099,16.7764609441013
4270,9,147712586,CX,"LIG","long insular gyri, left",127050026,134,93,119,-43.0,-28.0,16.0,-38.579965607058099,-25.5061123654455,14.0533770739697
4244,9,147712554,CX,"PHG-l","parahippocampal gyrus, left, lateral bank of gyrus",127050008,119,136,119,-28.0,-28.0,-27.0,-23.5407211020988,-26.057970813449501,-25.0534108814216
4160,9,149052854,CX,"FuG-cos","fusiform gyrus, left, bank of cos",127050010,136,129,119,-45.0,-28.0,-20.0,-37.910270570184103,-28.668756581919901,-17.60656255914
4187,15,149052758,CX,"Cun-str","cuneus, left, striate",127749301,94,100,185,-3.0,-94.0,9.0,-2.4780068455161701,-92.040009175191898,11.4539114110562
4288,8,149052726,CX,"Pu","putamen, left",127764406,122,105,107,-31.0,-16.0,4.0,-28.915692048998999,-14.9277889398679,4.2443910722611
4215,14,141667121,CX,"SOG-i","superior occipital gyrus, left, inferior bank of gyrus",127563550,114,90,177,-23.0,-86.0,19.0,-25.0477830006866,-86.669790711350103,19.7057180044262
4121,13,141667245,CX,"Pcu-i","precuneus, left, inferior lateral bank of gyrus",127562783,94,68,166,-3.0,-75.0,41.0,-2.0956637564118701,-71.439004855276593,41.5372505268581
4114,13,141667119,CX,"AnG-i","angular gyrus, left, inferior bank of gyrus",127562529,124,81,167,-33.0,-76.0,28.0,-37.292272137220202,-76.233959576963699,29.7129642844977
4098,13,141667261,CX,"SPL-s","superior parietal lobule, left, superior bank of gyrus",127562532,112,58,166,-21.0,-75.0,51.0,-22.084046049618401,-73.926836160300098,51.2156780511404
4186,13,141667151,CX,"Cun-pest","cuneus, left, peristriate",127562685,98,100,166,-7.0,-75.0,9.0,-6.4289251312092004,-71.632065708416704,10.833460479963
4207,13,141667247,CX,"IOG-s","inferior occipital gyrus, left, superior bank of gyrus",127562731,144,106,170,-53.0,-79.0,3.0,-48.153276575380801,-79.037137373620595,5.54076336659297
4113,12,141667211,CX,"AnG-s","angular gyrus, left, superior bank of gyrus",127562173,134,60,157,-43.0,-66.0,49.0,-45.754890487372997,-64.772662665506303,48.4334446252528
4113,11,141667113,CX,"AnG-s","angular gyrus, left, superior bank of gyrus",127511066,123,61,142,-32.0,-51.0,48.0,-34.3400251491829,-52.683719509373503,47.0658664288081
4149,11,141667241,CX,"ITG-its","inferior temporal gyrus, left, bank of the its",127514487,143,125,146,-52.0,-55.0,-16.0,-45.326445275362197,-57.012169854031001,-14.7380025899107
4245,8,141667143,CX,"PHG-cos","parahippocampal gyrus, left, bank of the cos",127048915,127,141,106,-36.0,-15.0,-32.0,-33.2900818378493,-14.2150782343318,-30.1119168675819
4136,9,139409751,CX,"STG-i","superior temporal gyrus, left, inferior bank of gyrus",127050505,150,106,121,-59.0,-30.0,3.0,-55.949904499118098,-31.968511139895899,2.77856262689238
4159,9,139409925,CX,"FuG-l","fusiform gyrus, left, lateral bank of gyrus",127050368,135,143,120,-44.0,-29.0,-34.0,-38.937544182651898,-28.582071076221599,-28.4805353085561
4231,9,139409831,CX,"CgGp-i","cingulate gyrus, parietal part, left, inferior bank of gyrus",127050744,93,85,118,-2.0,-27.0,24.0,-2.5286857125289401,-24.4094209613773,30.160688849943
