structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,mni_nlin_x,mni_nlin_y,mni_nlin_z
4296,7,126439333,CX,"GPi","globus pallidus, internal segment, left",114356712,104,108,88,-13.0,3.0,1.0,-13.7872451590619,3.8775078943337999,-0.798420269230367
4166,8,126432538,CX,"HG","Heschl's gyrus, left",1407832,144,112,97,-53.0,-6.0,-3.0,-49.478571319207703,-7.1272729052018402,1.69967485629818
4735,62,126435762,CB,"He-IV","IV, left, lateral hemisphere",113255856,107,127,124,-16.0,-33.0,-18.0,-15.7994182561703,-33.700080380130501,-21.9292403092851
4244,7,126439285,CX,"PHG-l","parahippocampal gyrus, left, lateral bank of gyrus",114357218,108,143,87,-17.0,4.0,-34.0,-22.4382561684526,3.62350040959182,-32.6284461254629
4244,10,126435744,CX,"PHG-l","parahippocampal gyrus, left, lateral bank of gyrus",111793985,114,127,117,-23.0,-26.0,-18.0,-23.6810982303099,-26.263130013181001,-21.1270008106917
4905,7,126432216,CX,"TP-m","temporal pole, left, medial aspect",1407369,115,151,87,-24.0,4.0,-42.0,-26.8046041048467,4.0719174192268603,-40.5903691441381
4194,14,126435075,CX,"LiG-str","lingual gyrus, left, striate",112718484,98,108,158,-7.0,-67.0,1.0,-6.5804656758525901,-64.226744225751304,1.05875587363191
4030,5,126431705,CX,"MFG-s","middle frontal gyrus, left, superior bank of gyrus",1403304,120,62,65,-29.0,26.0,47.0,-26.334475488664498,22.8219246166753,49.7099219579863
4149,7,126434371,CX,"ITG-its","inferior temporal gyrus, left, bank of the its",1407368,117,154,87,-26.0,4.0,-45.0,-28.2097711394598,3.49800651005941,-44.7353594488974
4158,8,126432638,CX,"FuG-its","fusiform gyrus, left, bank of the its",1407818,126,148,98,-35.0,-7.0,-39.0,-37.682516417254497,-7.3851244281518396,-38.7427186542011
4244,8,126435772,CX,"PHG-l","parahippocampal gyrus, left, lateral bank of gyrus",1407840,104,135,98,-13.0,-7.0,-26.0,-15.952849734264399,-6.44559891979545,-27.0418338796005
4738,61,126435776,CB,"He-VI","VI, left, lateral hemisphere",113222846,121,129,148,-30.0,-57.0,-20.0,-28.087967695109601,-58.458415236306401,-22.1775752203864
4280,6,126432214,CX,"HCd","head of caudate nucleus, left",1403564,101,100,77,-10.0,14.0,9.0,-10.7716270697124,13.677677436905901,7.51652037734368
4048,4,126431655,CX,"GRe","gyrus rectus, left",1395897,96,137,58,-5.0,33.0,-28.0,-8.3779533392584895,32.139319809345899,-24.9001747900299
4273,8,126432588,CX,"SIG","short insular gyri, left",1407828,131,100,97,-40.0,-6.0,9.0,-37.137443781419897,-6.4063611674586403,11.6743594887391
4187,15,126435758,CX,"Cun-str","cuneus, left, striate",112731694,94,99,171,-3.0,-80.0,10.0,-3.0128818128771599,-76.5493109194976,12.5859867035841
4735,62,126435794,CB,"He-IV","IV, left, lateral hemisphere",113255857,107,126,125,-16.0,-34.0,-17.0,-15.804390012096301,-34.586374944261799,-20.8948667652931
4738,62,126435716,CB,"He-VI","VI, left, lateral hemisphere",113258156,107,136,170,-16.0,-79.0,-27.0,-15.990501769230899,-77.719463496695894,-21.4118841615372
4720,63,126435766,CB,"PV-V","V, left, paravermis",113525753,96,112,155,-5.0,-64.0,-3.0,-4.8510086337042901,-62.449826637126598,-4.18134290539395
4739,62,126435842,CB,"He-Crus I","Crus I, left, lateral hemisphere",113258197,107,139,178,-16.0,-87.0,-30.0,-16.472707496973999,-85.496519098323404,-22.3232665996081
9698,93,146021998,BS,"8Ve","vestibular nuclei, left",120857712,97,159,134,-6.0,-43.0,-50.0,-7.6287516549518903,-44.9392978260259,-53.6160334891382
9529,93,146021902,BS,"8Co","cochlear nuclei, left",119889616,102,160,127,-11.0,-36.0,-51.0,-12.585704494683,-38.118926451601297,-54.3409605579948
9677,93,146507639,BS,"Sp5","spinal trigeminal nucleus, left",120830481,97,171,140,-6.0,-49.0,-62.0,-6.3800042246009099,-51.577422954874102,-65.3234582815696
9543,93,146507607,BS,"Cu","cuneate nucleus, left",113942461,94,172,136,-3.0,-45.0,-63.0,-3.0704426721939502,-47.093407121020498,-68.3187811599467
9525,93,146507591,BS,"CGS","central glial substance",114102598,90,172,136,1.0,-45.0,-63.0,2.6267574589046001,-47.375605571874303,-68.3723769470138
