structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,mni_nlin_x,mni_nlin_y,mni_nlin_z
4143,9,11281,CX,"MTG-i","middle temporal gyrus, left, inferior bank of gyrus",1283581,149,106,137,-58.0,-46.0,3.0,-53.451861030011102,-49.1837920843167,1.53052809634555
4151,9,11305,CX,"ITG-mts","inferior temporal gyrus, left, bank of mts",1283601,152,128,137,-61.0,-46.0,-19.0,-58.271915198713401,-45.648899913358598,-16.3277336835701
4149,9,11289,CX,"ITG-its","inferior temporal gyrus, left, bank of the its",1283603,143,126,137,-52.0,-46.0,-17.0,-49.451870927572003,-46.752349643207801,-15.1912006794556
4142,8,11335,CX,"MTG-s","middle temporal gyrus, left, superior bank of gyrus",1279507,151,108,127,-60.0,-36.0,1.0,-55.217315773714603,-37.541702077685002,0.710545867972438
4135,8,11319,CX,"STG-l","superior temporal gyrus, left, lateral bank of gyrus",1283331,160,100,127,-69.0,-36.0,9.0,-66.990963097606596,-39.592935418110102,7.11329283620004
4143,7,11263,CX,"MTG-i","middle temporal gyrus, left, inferior bank of gyrus",1284160,149,128,110,-58.0,-19.0,-19.0,-55.8556815077715,-18.7733638769229,-18.1170795268705
4273,6,11326,CX,"SIG","short insular gyri, left",1280038,134,96,99,-43.0,-8.0,13.0,-39.932116861068003,-12.9139639104419,12.7786274003539
4270,6,11318,CX,"LIG","long insular gyri, left",1280037,132,104,100,-41.0,-9.0,5.0,-38.942969709835097,-13.685642813184099,4.84506518032588
4178,6,11310,CX,"PLP","planum polare, left",1284515,150,104,99,-59.0,-8.0,5.0,-55.852757957314203,-9.4107275515264508,5.38893065314911
4135,6,11302,CX,"STG-l","superior temporal gyrus, left, lateral bank of gyrus",1280036,158,105,99,-67.0,-8.0,4.0,-64.807488504258302,-8.6953431003805495,4.1822572682438
4089,6,11286,CX,"PoG-il","postcentral gyrus, left, inferior lateral aspect of gyrus",1280041,159,86,99,-68.0,-8.0,23.0,-67.001476786043298,-8.8801074174340506,21.4710201486455
4280,4,11278,CX,"HCd","head of caudate nucleus, left",1275919,104,100,74,-13.0,17.0,9.0,-13.4314319249526,14.3209921930089,9.51119541365682
4901,4,11262,CX,"IRoG","inferior rostral gyrus, left",1275894,95,118,75,-4.0,16.0,-9.0,-2.7001541359939898,15.1063196281996,-9.29843489280813
4291,4,11254,CX,"Acb","nucleus accumbens, left",1273712,103,117,75,-12.0,16.0,-8.0,-11.8463352256926,14.486598607958401,-7.86288719858644
4288,4,11341,CX,"Pu","putamen, left",1273711,114,110,74,-23.0,17.0,-1.0,-23.147397063776701,13.297869918222901,-0.524599709552056
4114,9,11265,CX,"AnG-i","angular gyrus, left, inferior bank of gyrus",1283526,147,80,138,-56.0,-47.0,29.0,-53.514650308770001,-48.4093393178631,26.8237542558428
4121,9,11296,CX,"Pcu-i","precuneus, left, inferior lateral bank of gyrus",1283467,97,59,137,-6.0,-46.0,50.0,-8.1455648357626806,-44.542077984015997,54.9897388441264
4120,9,11288,CX,"Pcu-s","precuneus, left, superior lateral bank of gyrus",1283468,101,50,137,-10.0,-46.0,59.0,-12.3582931651982,-46.7504521931304,63.2403112416516
4090,9,11280,CX,"PoG-pcs","postcentral gyrus, left, bank of the posterior central sulcus",1283469,111,41,137,-20.0,-46.0,68.0,-20.001154982416399,-45.369743193816198,70.8512519657531
4099,9,11328,CX,"SPL-i","superior parietal lobule, left, inferior bank of gyrus",1283492,122,64,138,-31.0,-47.0,45.0,-31.015961781449199,-49.356803471011801,45.3299623228562
4113,9,11320,CX,"AnG-s","angular gyrus, left, superior bank of gyrus",1283486,135,61,138,-44.0,-47.0,48.0,-43.397224932176599,-49.244132029093301,46.6120728786067
4230,9,11336,CX,"CgGp-s","cingulate gyrus, parietal part, left, superior bank of gyrus",1283510,94,72,137,-3.0,-46.0,37.0,-3.6052021159737402,-47.312222107424802,38.1565619936831
4106,8,11303,CX,"SMG-s","supramarginal gyrus, left, superior bank of gyrus",1279525,137,66,126,-46.0,-35.0,43.0,-44.810297985516797,-34.567894547828402,43.4787222651606
4090,8,11295,CX,"PoG-pcs","postcentral gyrus, left, bank of the posterior central sulcus",1279524,123,70,126,-32.0,-35.0,39.0,-31.100438679333401,-36.352272985724603,41.0385826940606
4158,8,11272,CX,"FuG-its","fusiform gyrus, left, bank of the its",1279552,137,142,127,-46.0,-36.0,-33.0,-42.7021935903837,-38.770814954198002,-28.6586996304339
4072,7,11261,CX,"PCLa","paracentral lobule, anterior part, left",1280393,96,37,111,-5.0,-20.0,72.0,-4.28015088829354,-19.673780930651699,76.3096583446846
4013,7,11245,CX,"PrG-sl","precentral gyrus, left, superior lateral aspect of gyrus",1279775,104,36,111,-13.0,-20.0,73.0,-13.010511983160599,-18.649643625664901,77.1987571767431
4158,7,11222,CX,"FuG-its","fusiform gyrus, left, bank of the its",1279887,138,143,110,-47.0,-19.0,-34.0,-45.085986779551497,-19.774996466971601,-29.8310964680635
4151,7,11214,CX,"ITG-mts","inferior temporal gyrus, left, bank of mts",1279885,144,135,110,-53.0,-19.0,-26.0,-52.693087882058101,-18.2939789718429,-23.6871867985394
4087,7,11198,CX,"PoG-cs","postcentral gyrus, left, bank of the central sulcus",1279799,133,54,111,-42.0,-20.0,55.0,-43.034105146837099,-21.9200305348858,54.7438438355317
4015,6,11244,CX,"PrG-cs","precentral gyrus, left, bank of the central sulcus",1279336,120,50,100,-29.0,-9.0,59.0,-30.4895208886898,-9.3387600055917801,59.1499995646737
4136,6,11197,CX,"STG-i","superior temporal gyrus, left, inferior bank of gyrus",1279541,156,125,99,-65.0,-8.0,-16.0,-63.884068972240797,-8.0994150223444503,-12.6373440633935
4178,5,11204,CX,"PLP","planum polare, left",1275913,138,123,88,-47.0,3.0,-14.0,-47.960998993016197,0.92762223397564103,-13.2897400381628
4135,5,11180,CX,"STG-l","superior temporal gyrus, left, lateral bank of gyrus",1275916,154,116,88,-63.0,3.0,-7.0,-61.920019639344503,0.97886299657328801,-5.43449624945802
4088,6,11189,CX,"PoG-sl","postcentral gyrus, left, superior lateral aspect of gyrus",1279382,156,68,99,-65.0,-8.0,41.0,-63.292568121795597,-9.0041013649535397,39.0179115530717
4087,6,11181,CX,"PoG-cs","postcentral gyrus, left, bank of the central sulcus",1280014,152,71,99,-61.0,-8.0,38.0,-60.074252572196798,-8.7288637832416001,35.8931983462289
4113,11,11129,CX,"AnG-s","angular gyrus, left, superior bank of gyrus",1270316,123,54,160,-32.0,-69.0,55.0,-35.295884022014,-69.942987720289096,51.4303835837075
